Nombre;Hora;MomentoInt;Linea;LineaFinal
mtpg1a-02;13:45:36;59;29;29
mtpg1b-01;13:02:05;15;32;28
mtpg1b-01;13:03:25;16;32;28
mtpg1b-01;13:05:49;19;32;28
mtpg1b-02;13:17:56;36;26;26
mtpg1b-03;13:20:09;33;24;25
mtpg1b-04;13:15:41;31;31;33
mtpg1c-01;13:57:24;18;41;42
mtpg1c-02;14:19:04;40;32;32
mtpg1c-03;14:02:44;24;27;29
mtpg1c-04;14:07:37;28;28;31
mtpg2a-03;11:46:36;35;37;41
mtpg2a-04;11:29:26;15;25;28
mtpg2b-01;11:32:29;18;31;33
mtpg2b-01;11:52:30;38;32;33
mtpg2b-04;11:52:03;37;21;21
mtpg2c-01;12:25:03;81;29;29
mtpg2c-04;11:56:54;46;29;29
mtpg2c-05;12:40:37;84;28;30
mtpg2c-05;12:49:53;94;30;30
mtpg3a-04;10:11:22;22;13;10
mtpg3a-04;10:24:44;35;15;10
mtpg3b-01;9:57:36;19;25;25
mtpg3b-04;10:02:15;23;22;28
mtpg3c-01;10:30:16;4;35;30
mtpg3c-03;10:35:18;9;29;29
mtpg4a-01;19:05:42;71;30;30
mtpg4a-05;18:32:36;39;45;44
mtpg4a-05;18:38:23;45;44;44
mtpg4b-01;18:31:37;50;15;13
mtpg4b-03;18:29:28;48;34;34
mtpg4b-04;18:13:06;22;29;30
mtpg4c-01;19:03:02;83;36;37
mtpg4c-02;19:08:04;79;38;35
mtpg4c-03;19:18:57;96;42;42
mtpg4c-03;19:19:38;96;42;42
mtpg4c-05;18:52:42;73;39;41
mtpg4c-05;19:16:40;97;41;41
sca-09;11:40:23;18;194;284
scb-01;11:17:03;20;27;70
scb-08;11:11:32;14;15;90
scc-01;12:14:47;73;194;194
scc-02;11:12:55;11;69;164
scc-02;11:52:16;51;113;164
scc-04;11:43:50;42;130;204
scc-10;11:11:39;10;114;144
