Nombre;Hora;MomentoInt;Tokens;TokensFinal
mtpg1a-02;13:45:36;59;139;141
mtpg1b-01;13:02:05;15;122;124
mtpg1b-01;13:03:25;16;122;124
mtpg1b-01;13:05:49;19;122;124
mtpg1b-02;13:17:56;36;129;129
mtpg1b-03;13:20:09;33;108;110
mtpg1b-04;13:15:41;31;133;129
mtpg1c-01;13:57:24;18;190;192
mtpg1c-02;14:19:04;40;153;154
mtpg1c-03;14:02:44;24;140;152
mtpg1c-04;14:07:37;28;129;136
mtpg2a-03;11:46:36;35;161;158
mtpg2a-04;11:29:26;15;109;158
mtpg2b-01;11:32:29;18;123;136
mtpg2b-01;11:52:30;38;138;136
mtpg2b-04;11:52:03;37;106;106
mtpg2c-01;12:25:03;81;147;147
mtpg2c-04;11:56:54;46;160;160
mtpg2c-05;12:40:37;84;151;153
mtpg2c-05;12:49:53;94;153;153
mtpg3a-04;10:11:22;22;54;27
mtpg3a-04;10:24:44;35;62;27
mtpg3b-01;9:57:36;19;119;121
mtpg3b-04;10:02:15;23;92;129
mtpg3c-01;10:30:16;4;215;145
mtpg3c-03;10:35:18;9;163;163
mtpg4a-01;19:05:42;71;155;155
mtpg4a-05;18:32:36;39;156;156
mtpg4a-05;18:38:23;45;156;156
mtpg4b-01;18:31:37;50;50;50
mtpg4b-03;18:29:28;48;142;142
mtpg4b-04;18:13:06;22;120;120
mtpg4c-01;19:03:02;83;144;144
mtpg4c-02;19:08:04;79;140;140
mtpg4c-03;19:18:57;96;201;203
mtpg4c-03;19:19:38;96;203;203
mtpg4c-05;18:52:42;73;140;128
mtpg4c-05;19:16:40;97;128;128
sca-09;11:40:23;18;1005;1437
scb-01;11:17:03;20;155;321
scb-08;11:11:32;14;97;378
scc-01;12:14:47;73;731;731
scc-02;11:12:55;11;292;501
scc-02;11:52:16;51;388;501
scc-04;11:43:50;42;447;630
scc-10;11:11:39;10;484;665
